ISBN,Rating,Price,Pages,Rating Count,Language_Dummy,Size_Dummy,Famous_Dummy,Categories_Dummy,Serie_Dummy
9.78E+12,3.57,2.82,208,169719,English,Big,Other,Top_Category,Other
9.78E+12,4.55,13.84,296,100212,English,Big,Famous,Other,Serie
9.78E+12,3.85,3.11,507,234760,English,Big,Famous,Top_Category,Other
9.78E+12,3.99,0.85,647,83826,English,Big,Famous,Other,Other
9.78E+12,4.37,5.26,601,358668,English,Big,Famous,Top_Category,Other
9.78E+12,3.77,4.41,540,157734,English,Big,Famous,Other,Serie
9.78E+12,4,3.09,76,522946,English,Other,Famous,Top_Category,Other
9.78E+12,4.09,1.64,467,219303,English,Big,Famous,Top_Category,Serie
9.78E+12,3.99,3.32,510,136349,English,Big,Other,Top_Category,Other
9.78E+12,4.32,4.8,743,208928,English,Big,Famous,Top_Category,Serie
9.78E+12,4.36,7.31,603,108208,English,Big,Other,Top_Category,Other
9.78E+12,3.5,3.92,117,146272,English,Other,Other,Other,Other
9.78E+12,3.98,5.26,107,229601,English,Other,Other,Top_Category,Other
9.78E+12,4.01,2.2,289,577429,English,Big,Famous,Other,Other
9.78E+12,4.13,5,1061,491147,English,Big,Famous,Top_Category,Serie
9.78E+12,4.08,3.43,413,184133,English,Big,Famous,Top_Category,Serie
9.78E+12,4.12,6.7,160,140107,English,Big,Other,Top_Category,Serie
9.78E+12,3.85,2.74,207,85800,English,Big,Famous,Top_Category,Other
9.78E+12,4.45,2.5,448,141779,English,Big,Famous,Top_Category,Serie
9.78E+12,4.22,4.64,289,326424,English,Big,Famous,Top_Category,Serie
9.78E+12,4.19,8.99,224,225145,English,Big,Famous,Top_Category,Serie
9.78E+12,3.73,2.94,335,106675,English,Other,Other,Top_Category,Other
9.78E+12,4.39,5.97,870,188662,English,Big,Famous,Top_Category,Serie
9.78E+12,4.27,3.38,468,43469,English,Big,Famous,Top_Category,Serie
9.78E+12,3.98,1.44,272,546269,English,Big,Other,Other,Other
9.78E+12,4.01,5.51,1017,77515,English,Big,Other,Top_Category,Other
9.78E+12,3.93,2.85,416,127393,English,Big,Other,Top_Category,Serie
9.78E+12,4.05,11.55,162,377685,English,Big,Famous,Top_Category,Other
9.78E+12,3.78,3.11,867,100384,English,Big,Other,Top_Category,Other
9.78E+12,4.14,4.69,836,197049,English,Big,Famous,Top_Category,Serie
9.78E+12,4,8.5,351,76839,English,Big,Famous,Top_Category,Other
9.78E+12,3.96,3.07,306,92266,English,Big,Other,Top_Category,Serie
9.78E+12,3.99,3.11,672,104614,English,Big,Other,Top_Category,Other
9.78E+12,3.88,3.11,736,2279854,English,Big,Other,Top_Category,Serie
9.78E+12,4.03,10,181,92582,English,Big,Famous,Top_Category,Serie
9.78E+12,4.15,4.01,368,327791,English,Big,Famous,Top_Category,Other
9.78E+12,4.13,1.39,249,421344,English,Big,Famous,Top_Category,Other
9.78E+12,4,7.01,343,62290,English,Other,Other,Top_Category,Other
9.78E+12,3.98,6.27,220,133832,English,Big,Famous,Top_Category,Other
9.78E+12,3.8,6.27,237,130122,English,Other,Famous,Top_Category,Other
9.78E+12,4.18,1.91,198,193862,English,Big,Famous,Top_Category,Serie
9.78E+12,4.13,2.74,309,114408,English,Big,Famous,Top_Category,Other
9.78E+12,4.09,1.81,439,45975,English,Other,Other,Top_Category,Other
9.78E+12,3.67,1.45,128,133575,English,Big,Famous,Other,Other
9.78E+12,3.97,6.66,273,214954,English,Other,Other,Top_Category,Other
9.78E+12,3.99,4.32,497,34223,English,Big,Other,Other,Other
9.78E+12,3.88,3.64,448,118857,English,Big,Famous,Top_Category,Serie
9.78E+12,3.83,6.47,342,181922,English,Big,Other,Top_Category,Serie
9.78E+12,3.91,3.37,374,93927,English,Big,Famous,Top_Category,Serie
9.78E+12,3.65,2.91,401,519878,English,Big,Other,Top_Category,Other
9.78E+12,3.9,4.3,623,44658,English,Big,Famous,Top_Category,Other
9.78E+12,3.92,1.79,255,107024,English,Big,Famous,Top_Category,Other
9.78E+12,4.02,14.39,776,28034,English,Big,Famous,Top_Category,Other
9.78E+12,4.16,2.72,212,214520,English,Big,Famous,Top_Category,Other
9.78E+12,4.27,3.39,274,96683,English,Big,Famous,Top_Category,Serie
9.78E+12,4.06,6.13,751,264047,English,Other,Famous,Top_Category,Other
9.78E+12,4,14.11,183,182174,English,Big,Famous,Top_Category,Serie
9.78E+12,4.05,5.44,656,36909,English,Big,Other,Top_Category,Other
9.78E+12,4.01,3.01,389,176663,English,Big,Famous,Top_Category,Serie
9.78E+12,4.44,5.99,980,100326,English,Big,Famous,Top_Category,Serie
9.78E+12,3.7,2.77,210,126224,English,Big,Famous,Top_Category,Serie
9.78E+12,4.24,0.85,342,52696,English,Other,Famous,Top_Category,Other
9.78E+12,4,3.67,444,85440,English,Big,Famous,Top_Category,Other
9.78E+12,3.97,3.11,437,61387,English,Big,Other,Top_Category,Other
9.78E+12,4.27,4.79,1443,120981,English,Big,Famous,Top_Category,Serie
9.78E+12,4.01,4.19,231,97885,English,Other,Famous,Top_Category,Serie
